BusinessName,Category,Labels,OpenClosed,Town,Address,CurrentHours,HowToOrder,HowToGetIt,Phone,Menu,Website,PaymentsAccepted,Specials,Description,Email,Facebook,Instagram,Twitter,imageUrl,DeliveryLink
Amalfi of Glen Cove,Italian,"Italian, Pizza, Pasta, Salads",Open,Glen Cove,197 Forest Ave.,Mon-Sun 11am-8pm,Phone,"Takeout, Delivery",516-801-6544,http://amalfiglencove.com/dining-room/,http://amalfiglencove.com,"Cash, Credit, Debit",Website,"At Amalfi of Glen Cove, our extensive and authentic Italian cuisine is prepared from scratch everyday using only the finest and freshest ingredients. Calzones, pasta, signature pizzas & other casual Italian eats in a comfy, counter-serve setting.",info@amalfiglencove.com,https://www.facebook.com/AmalfiPizzeriaRestaurant/,https://www.instagram.com/amalfiglencove/,,http://amalfiglencove.com/wp-content/uploads/sites/4/2018/10/pizza.jpg,https://amalfiglencove.pdqonlineordering.com/Titlepage.aspx
American Cafe,American,"American, Latin",Open,Glen Cove,5 School St.,Mon-Sun 10am-8pm,Phone,"Takeout, Delivery",516-656-0003,https://www.americancafe.org/#dinner-menu,https://www.americancafe.org,"Cash, Credit, Debit",,"A mix of homestyle American comfort food & global specials in cozy, kid-friendly cafe near theater.",,https://www.facebook.com/pages/category/Restaurant/American-CAFE-106801256031886/,,,https://media-cdn.tripadvisor.com/media/photo-s/04/80/d1/bf/american-cafe.jpg,https://www.DoorDash.com/store/american-cafe-glen-cove-133916/182266/en-US
Andros Grill,Mediterranean,,Closed,Glen Cove,61 Glen St.,,,,,https://slicelife.com/restaurants/ny/glen-cove/11542/andros-grill-pizza-gyro/menu?utm_campaign=partner_websites,https://www.androsgrillpizzagyro.com/,,,,,,,,,
Angela's Bakery,Bakery,,Closed,Glen Cove,181 Glen St.,,Phone Special Orders ,Takeout,(605) 234-2253,,,,,,,https://www.facebook.com/angelasbakerychamberlain/,,,,
Asian Fusion,Asian,"Chinese, Japanese, Thai",Open,Glen Cove,66 School St.,"Mon-Sat 12pm-8:30pm, Sun 3pm-8:30pm","Phone, Website",Takeout,516-277-1893,https://www.asianfusiontogo.com/#features,https://www.asianfusiontogo.com,"Credit, Debit",,,,https://www.facebook.com/asianfusionsushichinesethai,,,,
Bakery of the World,Bakery,,Closed,Glen Cove,26 Glen St B,,,,,,,,,,,,,,,
Burger King,Fast Food,"Fast Food, Burgers",Open,Glen Cove,3 Cedar Swamp Rd.,Mon-Sun 7am-1am,Drive Thru,"Drive Thru, Delivery",516-609-0813,https://www.bk.com/menu,https://www.bk.com,"Cash, Credit, Debit",,"Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.",,https://www.facebook.com/BurgerKing3CedarSwampRd/,,,https://media-exp1.licdn.com/dms/image/C4D1BAQHTMNOwn3bL6Q/company-background_10000/0?e=2159024400&v=beta&t=VEG52jfelrD-keOBGYqNSqdI8mYqEknDivUJLLyNUyY,https://www.DoorDash.com/store/burger-king-glen-cove-259684/en-US
Cactus Cafe Tex-Mex,Mexican,"Mexican, Tex-Mex, Tacos, Burritos",Open,Glen Cove,214 Glen Cove Ave D,Mon-Sun 12pm-9pm,"Phone, DoorDash","Takeout, Delivery",516-609-2623,https://cactuscafetexmex.com/menu/all-day/,https://cactuscafetexmex.com/,"Cash, Credit, Debit",Website,"Upbeat counter-serve spot offering made-from-scratch Tex-Mex eats. All food is prepared daily in house, even our chips and salsa. Every morning our crew starts early, cooking soups, baking empanadas, smoking brisket, making house made guacamole to make sure your taste buds are satisfied.",,https://www.facebook.com/CactusCafeNY,https://www.instagram.com/cactuscafeny/,https://twitter.com/cactuscafeny,https://scontent-ort2-2.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/90089184_1811568322312980_9185982338487091047_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com&_nc_cat=100&_nc_ohc=CoEj0F-k-xQAX-crnlV&oh=542f69ace91f51efafa7ea8578040fda&oe=5EB7EF03,https://www.DoorDash.com/store/cactus-cafe-glen-cove-133906/en-US?pickup=trueutm_source%3Dpartner-link&utm_campaign=133906&utm_medium=website
Carmen's Deli,Deli,Deli,Open,Glen Cove,43 Cedar Swamp Rd.,Mon-Sun 6am-6pm,Phone,Takeout,516-200-5460,https://www.carmensdelilongisland.com/menu,https://www.carmensdelilongisland.com,,,,,,,,,
Carvel,Desserts,"Desserts. Ice Cream, Cakes",Open,Glen Cove,181 Forest Ave.,Mon-Sun 10am-9pm,"Store, Phone, Uber Eats, DoorDash","Takeout, Delivery",516-801-2300,https://order.carvel.com/menu/carvel-glen-cove,https://www.carvel.com/,"Cash, Credit, Debit",,,,https://www.facebook.com/CarvelIceCream/,https://www.instagram.com/carvelicecream/?hl=en,https://twitter.com/CarvelIceCream,https://img.grouponcdn.com/deal/25EEKsbSKCm8LbVqJ1sSZp4GwBpR/25-960x576/v1/c700x420.jpg,https://www.ubereats.com/nyc-suburbs/food-delivery/carvel-181-forest-ave/2nx4LuE8R_KwBChZqWY92g
