BusinessName,Category,Labels,OpenClosed,Town,Address,CurrentHours,HowToOrder,HowToGetIt,Phone,Menu,DeliveryLink,PaymentsAccepted,Specials,Website,Email,Facebook,Instagram,Twitter
Amalfi of Glen Cove,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,197 Forest Ave.,M-Su 11-8? Google,Phone,Takeout/Delivery,516-801-6544,http://amalfiglencove.com/dining-room/,https://amalfiglencove.pdqonlineordering.com/Titlepage.aspx,Cash Credit Debit,On website,http://amalfiglencove.com,info@amalfiglencove.com,https://www.facebook.com/AmalfiPizzeriaRestaurant/,https://www.instagram.com/amalfiglencove/,
American Cafe,American,American Latin,Open,Glen Cove,5 School St.,M-Th 9AM-10PM F-Su 8AM-12AM? Google,Phone,Takeout/Free Delivery,516-656-0003,https://www.americancafe.org/#dinner-menu,https://www.doordash.com/store/american-cafe-glen-cove-133916/182266/en-US,Cash Credit Debit (card charge),,https://www.americancafe.org,,https://www.facebook.com/pages/category/Restaurant/American-CAFE-106801256031886/,,
Andros Grill,Mediterranean,,Closed,Glen Cove,61 Glen St.,,,,,https://slicelife.com/restaurants/ny/glen-cove/11542/andros-grill-pizza-gyro/menu?utm_campaign=partner_websites,,,,https://www.androsgrillpizzagyro.com/,,,,
Angela's Bakery,Bakery,,Closed,Glen Cove,181 Glen St.,,Phone Special Orders ,Takeout,(605) 234-2253,,,,,,,https://www.facebook.com/angelasbakerychamberlain/,,
Asian Fusion,Asian,,Closed,Glen Cove,66 School St.,,,,516-277-1893,,,Cash Credit Debit,,https://www.asianfusiontogo.com,,https://www.facebook.com/asianfusionsushichinesethai,,
Bakery of the World,Bakery,,Closed,Glen Cove,26 Glen St B,,,,,,,,,,,,,
Burger King,Fast Food,Fast Food Burgers,Open,Glen Cove,3 Cedar Swamp Rd.,Drive Through: M-S 7AM-1AM,,Drive Through/Delivery,516-609-0813,,https://www.doordash.com/store/burger-king-glen-cove-259684/en-US,,,https://locations.bk.com/ny/glen-cove/3-cedar-swamp-rd.html,,https://www.facebook.com/BurgerKing3CedarSwampRd/,,
Cactus Cafe ,Mexican,Mexican Tex-Mex Tacos Burritos,Open,Glen Cove,214 Glen Cove Ave D,M-S 12-9PM,Phone/DoorDash,Takeout/Delivery,516-609-2623,Menus on Website,https://www.doordash.com/store/cactus-cafe-glen-cove-133906/en-US?pickup=trueutm_source%3Dpartner-link&utm_campaign=133906&utm_medium=website,,,https://cactuscafetexmex.com/,,https://www.facebook.com/CactusCafeNY,https://www.instagram.com/cactuscafeny/,https://twitter.com/cactuscafeny
Carmen's Deli,Deli,,Unsure,Glen Cove,43 Cedar Swamp Rd.,,,,516-200-5460,https://www.carmensdelilongisland.com/menu,,,,https://www.carmensdelilongisland.com,,,,
Carvel,Desserts,Desserts. Ice Cream Cakes,Open,Glen Cove,181 Forest Ave.,10-9 M-S,In Person/Phone/Uber/DoorDash,Takeout/Delivery,516-801-2300,,https://www.ubereats.com/nyc-suburbs/food-delivery/carvel-181-forest-ave/2nx4LuE8R_KwBChZqWY92g,Cash Credit Debit,,https://www.carvel.com/,,https://www.facebook.com/CarvelIceCream/,https://www.instagram.com/carvelicecream/?hl=en,https://twitter.com/CarvelIceCream
Cedar Creek,American,American,Open,Glen Cove,75 Cedar Swamp Rd.,,,Takeout/Delivery,,,,Cash Credit Debit,,,,,,
Charlie's Deli,Deli,,Unsure,Glen Cove,62 Landing Rd.,,,,,,,Cash Credit Debit,,charliesdeliandcatering.com,fredyor11560@gmail.com,https://www.facebook.com/pg/Charlies-Deli-Catering-1085217471521876/about/?ref=page_internal,,
China King,Asian,,Closed,Glen Cove,170 Forest Ave.,,,,516-676-8181,https://www.bringmethat.com/t/ny/glen-cove/11542/china-king,,Cash Credit Debit,,https://www.bringmethat.com/t/ny/glen-cove/11542/china-king,,,,
China Palace,Asian,,Closed,Glen Cove,183 Forest Ave.,None,,,516-671-3223,,,Cash Credit Debit,,https://www.chinapalaceglencove.com,,,,
Cuscatleco Deli,Deli,,Unsure,Glen Cove,210 Glen St.,,,,516-671-4812,,,Cash Credit Debit,,,,,,
Daily Bagel Plus,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,60 Landing Rd,Mon-Sun 9am-10pm,Phone,Takeout/Delivery,516-759-0793,,,Cash Credit Debit,,http://deliciouspizzeria.net/,,,,
Dominik Pizza,Mexican,Mexican Tacos Italian Pizza,Unsure,Glen Cove,65 1/2 Glen St,,,Takeout/Delivery ($15 min),516-674-4796,http://dominikpizza.com/menu/,,,,http://dominikpizza.com,peresj@dominos.com,https://www.facebook.com/pages/category/Pizza-Place/Dominik-Pizza-113989688632587/,,
Domino's Pizza,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,104 School St.,,Phone/Website,Takeout/Delivery,516-671-6040,,,Cash Credit Debit,,https://www.dominos.com/en/pages/order/?utm_content=OLO&storeid=3584&zipcode=11542#/locations/search,,,,
Dulce Delights,Desserts,Desserts Ice Cream,Open,Glen Cove,90 Forest Ave.,,,Self Serve Takeout,516-399-2323,,,Cash Credit Debit,,https://dulce-delights.business.site,dulcedelights@ymail.com,https://www.facebook.com/DulceDelightsUSA/,https://www.instagram.com/dulcedelights_glencove/?fbclid=IwAR22BGGxwZ5VQnDq4zXHsU9dyFiSVGSnj3pfctVEO65KPJC9MgzQNhTeod4,https://twitter.com/dulce_delights?fbclid=IwAR1WEOmFyrucIRdyqXE2XKwEGY7DVBJox4ifvs_SchfWNlHnlMQuo8oUqwY
Dunkin Donuts Forest Ave,Cafe,Cafe Breakfast Donuts Coffee,Open,Glen Cove,5 Brewster St.,M-Su 4:30am-10:30pm,Mobile App,Takeout,516-759-0858,,,Cash Credit Debit Mobile App,,https://www.dunkindonuts.com/en?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=302049,,https://www.facebook.com/DunkinGlenCoveNY340587,,
Dunkin Donuts Glen St,Cafe,Cafe Breakfast Donuts Coffee,Open,Glen Cove,285-291 Glen St,M-Su 6am-3pm,Mobile App,Takeout,516-674-6756,,,Cash Credit Debit Mobile App,,https://www.dunkindonuts.com/en?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=302049,,,,
El Tazumal,Latin,,Unsure,Glen Cove,6 Glen St.,,,,516-674-9465,On Facebook,,,,,,https://www.facebook.com/pages/category/Family-Style-Restaurant/El-Tazumal-312469105480783/,,
Forest Ave Grill,Cafe,,Closed,Glen Cove,170 Forest Ave.,,Phone,Takeout/Delivery ($15 min),516-277-2360,,,,Weekly On Website,https://www.forestavegrill.com,,,,
Forest Avenue Pizza,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,90 Forest Ave.,Everyday close by 8,Phone/website,Takeout/Delivery,516-759-3777,,,Cash Credit Debit,,http://forestpizza.com,forestpizza@optonline.net,https://www.facebook.com/Forest-Ave-Pizza-114028781960990/,,
Garvies Point Brewery,Brewery,Brewery Beer,Open,Glen Cove,1 Garvies Rd.,Mon-Sat 1-7,Phone,Takeout/Delivery,516-277-2787,,,Cash Credit Debit,,https://garviespointbrewing.com/,,,,
Gem Stone Authentic Chinese,Deli,Deli,Unsure,Glen Cove,35 Glen St.,,,,516-609-0252,,,,,,,,,
Glen Cove Deli,Diner,Diner Breakfast,Open,Glen Cove,187 Glen St.,M-Su 11am-9pm,Phone/Delivery Service,Takeout/Curbside/Doordash/Uber Eats,516-676-1400,On Delivery Sites,https://www.glencovediner.com/delivery,Cash Credit Debit,,https://www.glencovediner.com,,https://www.facebook.com/GlenCoveDiner/,https://www.instagram.com/glencovediner/,https://mobile.twitter.com/GlenCoveDiner
Glen Cove Diner,Deli,Deli,Unsure,Glen Cove,67 Glen St.,,,,516-277-1556,,,,,,,,,
Glen Street Deli,Asian,,Unsure,Glen Cove,210 Glen St B,,,,516-676-8407,,,,,,,,,
Hao Sheng II,Diner,Diner Breakfast,Open,Glen Cove,8 Glen St.,M-Su 7:30am-3pm,Phone/Delivery Service,Takeout/Curbside/Delivery/Doordash,516-671-3222,On Facebook,https://www.doordash.com/store/henry-s-confectionary-glen-cove-194710/en-US,Cash Credit Debit,On Facebook,,,https://www.facebook.com/pages/category/Diner/Henrys-Confectionary-100494826679048/,,
Henry's Confectionary Diner,Desserts,Desserts Ice Cream,Unsure,Glen Cove,10 Cedar Swamp Rd # 18,,,,516-234-8622,,,,,,,,,
Ice Cream Stop,Asian,,Unsure,Glen Cove,36 Glen St ste a,,,,516-671-7272,,,,,,,,,
Jade Fortune,Mexican,,Closed,Glen Cove,100 School St.,,,,516-801-1960,http://jaliscomexicana.com,,Cash Credit Debit,On Menu,http://jaliscomexicana.com,,https://www.facebook.com/pg/Jalisco-Cocina-Mexicana-Tequila-Bar-123484739047947/about/?ref=page_internal,,
La Bussola Ristorante,Italian,Italian Pasta Salads,Open,Glen Cove,40 School St.,M-Th 12-9:30 F 12-10:30 Sa 2-10:30 Su 2-9:30,Phone,Curbside/Delivery (over $75),516-671-2100,On Facebook,,Cash Credit Debit,On Facebook,http://www.piccolabussolarestaurant.com/glen-cove,glencove@bussolagroup.com,https://www.facebook.com/LaBussolaGlenCove/,,
La Ginestra,Italian,Italian Pasta Salads,Open,Glen Cove,50 Forest Ave.,T-Su 4-7:30 M Closed,Phone,Takeout,516-674-2244,,,Cash Credit Debit,Daily Must Call,http://www.laginestrany.com,info@laginestrany.com,https://www.facebook.com/La-Ginestra-Restaurant-523124877835592/?fref=ts&rf=114059908625243,,
La Pala,Italian,Italian Pizza Pasta Salads,Open,Glen Cove,246 Glen St.,T-Su 12-9 M Closed,Phone/Delivery Service,Curbside/Doordash,516-399-2255,https://3d5df9d7-4f22-4325-835e-0c6f848b7257.filesusr.com/ugd/5e6920_015e6195939f40059b14dfc07cbb36c3.pdf,https://www.doordash.com/store/la-pala-glen-cove-595384/en-US,Cash Credit Debit,,https://www.lapalany.com,,https://www.facebook.com/lapalaglencove/,https://www.instagram.com/lapalaglencove/,
La Vicharra,Latin,Latin,Open,Glen Cove,72 School St.,M-Su 9am-10pm,Phone,Takeout,516-801-3521,https://www.lavicharra.com/menu,,Cash Credit Debit,Lunch Special,https://www.lavicharra.com/?fbclid=IwAR1hINQjTAp6fBg8OSs074uGuGMC0XGRJuCBVofTZDajt1W8cAkd3TbUvdI,lavicharraperu@gmail.com,https://www.facebook.com/lavicharra/,,
Landing Bakery,Bakery,Bakery Breakfast Coffee,Unsure,Glen Cove,147 Landing Rd A,,,,516-676-9299,,,Cash Credit Debit,,,,,,
Leo's Deli,Deli,,Unsure,Glen Cove,74 Glen Cove Ave #2818,,,,516-801-4899,,,Cash Credit Debit,,,,https://www.facebook.com/Leos-Deli-408079402582826/,,
Lin's Chinese,Asian,,Unsure,Glen Cove,214 Glen Cove Ave C,,,,516-759-3340,,,,,,,,,
Long Island Bagel Cafe,Cafe,Cafe Bagels Breakfast Coffee,Open,Glen Cove,89 Forest Ave.,M-F 5am-8pm Sa 5am-7pm Su- 5am-6pm,Text,Takeout/Grubhub/Doordash/Seamless/Uber Eats,516-671-3354,,,Cash Credit Debit,,https://libc.com,john@libagelcafe.com,https://www.facebook.com/Glen-Cove-Bagel-Cafe-138855226176877/,,
Machu Picchu,Latin,,Unsure,Glen Cove,15 Bridge St.,,,,516-759-1382,,,,,,,,,
Marle's Cafe ,Cafe,,Closed,Glen Cove ,8 School  St. ,,phone,Take out ,516-200-5010,,,Cash Credit/debit cards,,,marlecafeny@gmail.com,,,
McDonald's,Fast Food,Fast Food Burgers,Open,Glen Cove,193 Glen St.,M-Sa 24 hours Su 4am-12am,Website,Drive Thru/Uber Eats/Doordash,516-671-7455,On Delivery Website,https://www.ubereats.com/nyc-suburbs/food-delivery/mcdonalds-glen-cove-glen-st/ss3SXVdjSBOwr3vMqsgrLQ?utm_source=McDs&utm_medium=Website&utm_term=McDWebsiteLink&ue=ue,Cash Credit Debit,,https://www.mcdonalds.com/us/en-us.html,,https://www.facebook.com/McDonalds193GlenSt/,,
Meritage Wine Bar,American,American Wine,Open,Glen Cove,90 School St.,Everyday 12-8,Phone,Takeout/Doordash,516-801-0055,,,Cash Credit Debit,,http://www.meritagebar.com,info@meritagebar.com,https://www.facebook.com/meritagewinebar/,https://www.instagram.com/meritagewinebar/,https://twitter.com/meritagewinebar
Noble Savage,Brewery,Brewery Beer,Open,Glen Cove,27 Glen St.,Th-Su 3-8pm,Website,Delivery,516-953-9175,On Delivery Website,https://my-site-101214-107255.square.site/?fbclid=IwAR019Dqxa2wIrgLiFLp0VudzXLKBMfty6kFS2BJl0zBN4zH34m4pblLd6d0,Credit Debit,,https://www.noblesavagebrews.com,noblesavagebrewing@gmail.com,https://www.facebook.com/noblesavagebrewco/,https://www.instagram.com/noblesavagebrewco/,
NY Chicken and Rice,American,American Street Cart Food,Open,Glen Cove,214 Glen Cove Ave.,M-Sa 11am-10pm,Phone/Delivery Service,Takeout/Doordash/Grubhub/Uber Eats,516-801-8080,On Delivery Website,https://www.grubhub.com/restaurant/ny-chicken-and-rice-214-glen-cove-ave-ste-202-glen-cove/979776?gclid=CjwKCAjwpqv0BRABEiwA-TySwYDvb8HkSqeVUtoCYfbjIQiw90oml2bu8pY3Y96z7a3EUTCr2Hwt6BoCQTgQAvD_BwE&gclsrc=aw.ds,Cash Credit Debit,,https://www.nychickenandrice.com,nychickenandrice@gmail.com,,https://www.instagram.com/nychickenandrice/,
Old Fashioned Bakery,Bakery,,Unsure,Glen Cove,10 Cedar Swamp Rd,,,,516-759-1141,,,Cash Credit Debit,,,,,,
